"grp_id","cth_id"
-6,9
-6,10
-6,11
-6,12
-6,13
-6,14
-6,15
-6,16
-6,17
-6,18
-6,19
-6,20
-6,21
-6,22
-6,23
-6,24
-6,25
-6,26
-6,27
-6,28
-6,29
-6,30
-6,31
-6,32
-6,33
-6,34
-6,35
-6,36
-6,37
-6,38
-6,39
-6,40
-6,41
-6,42
-6,43
-6,44
-6,45
-6,46
-6,47
-6,48
-6,49
-6,50
-6,51
-6,52
-6,53
-6,54
-6,55
-6,56
-6,57
-6,58
-6,59
-6,60
-6,61
-6,93
-5,9
-5,10
-5,11
-5,12
-5,13
-5,14
-5,15
-5,16
-5,17
-5,18
-5,19
-5,20
-5,21
-5,22
-5,23
-5,24
-5,25
-5,26
-5,27
-5,28
-5,29
-5,30
-5,31
-5,32
-5,33
-5,34
-5,35
-5,36
-5,37
-5,38
-5,39
-5,40
-5,41
-5,42
-5,43
-5,44
-5,45
-5,46
-5,47
-5,48
-5,49
-5,50
-5,51
-5,52
-5,53
-5,54
-5,55
-5,56
-5,57
-5,58
-5,59
-5,60
-5,61
-5,93
-4,9
-4,10
-4,11
-4,12
-4,13
-4,14
-4,15
-4,16
-4,17
-4,18
-4,19
-4,20
-4,21
-4,22
-4,23
-4,24
-4,25
-4,26
-4,27
-4,28
-4,29
-4,30
-4,31
-4,32
-4,33
-4,34
-4,35
-4,36
-4,37
-4,38
-4,39
-4,40
-4,41
-4,42
-4,43
-4,44
-4,45
-4,46
-4,47
-4,48
-4,49
-4,50
-4,51
-4,52
-4,53
-4,54
-4,55
-4,56
-4,57
-4,58
-4,59
-4,60
-4,61
-4,93
-3,9
-3,10
-3,11
-3,12
-3,13
-3,14
-3,15
-3,16
-3,17
-3,18
-3,19
-3,20
-3,21
-3,22
-3,23
-3,24
-3,25
-3,26
-3,27
-3,28
-3,29
-3,30
-3,31
-3,32
-3,33
-3,34
-3,35
-3,36
-3,37
-3,38
-3,39
-3,40
-3,41
-3,42
-3,43
-3,44
-3,45
-3,46
-3,47
-3,48
-3,49
-3,50
-3,51
-3,52
-3,53
-3,54
-3,55
-3,56
-3,57
-3,58
-3,59
-3,60
-3,61
-3,93
-2,9
-2,10
-2,11
-2,12
-2,13
-2,14
-2,15
-2,16
-2,17
-2,18
-2,19
-2,20
-2,21
-2,22
-2,23
-2,24
-2,25
-2,26
-2,27
-2,28
-2,29
-2,30
-2,31
-2,32
-2,33
-2,34
-2,35
-2,36
-2,37
-2,38
-2,39
-2,40
-2,41
-2,42
-2,43
-2,44
-2,45
-2,46
-2,47
-2,48
-2,49
-2,50
-2,51
-2,52
-2,53
-2,54
-2,55
-2,56
-2,57
-2,58
-2,59
-2,60
-2,61
-2,93
-1,9
-1,10
-1,11
-1,12
-1,13
-1,14
-1,15
-1,16
-1,17
-1,18
-1,19
-1,20
-1,21
-1,22
-1,23
-1,24
-1,25
-1,26
-1,27
-1,28
-1,29
-1,30
-1,31
-1,32
-1,33
-1,34
-1,35
-1,36
-1,37
-1,38
-1,39
-1,40
-1,41
-1,42
-1,43
-1,44
-1,45
-1,46
-1,47
-1,48
-1,49
-1,50
-1,51
-1,52
-1,53
-1,54
-1,55
-1,56
-1,57
-1,58
-1,59
-1,60
-1,61
-1,93
0,93
14,2
14,3
14,7
14,14
14,15
14,19
14,20
14,25
14,26
14,31
14,51
14,52
14,57
14,58
14,61
14,74
14,75
14,81
14,83
14,84
14,97
14,100
14,101
14,102
14,103
14,115
14,116
14,121
14,124
14,125
14,134
14,135
15,1
15,5
15,8
15,9
15,33
15,34
15,42
15,48
15,50
15,55
15,56
15,63
15,70
15,71
15,72
15,76
15,77
15,82
15,88
15,96
15,98
15,99
15,118
15,123
15,126
15,133
15,141
15,142
15,144
15,145
15,146
15,150
15,151
15,152
15,153
15,154
15,155
16,6
16,11
16,12
16,17
16,22
16,27
16,28
16,29
16,30
16,43
16,44
16,66
16,67
16,78
16,79
16,80
16,85
16,86
16,87
16,90
16,105
16,106
16,108
16,109
16,137
16,138
16,140
18,4
18,13
18,16
18,18
18,21
18,23
18,32
18,45
18,46
18,47
18,49
18,89
18,91
18,92
18,93
18,94
18,95
18,104
18,107
18,117
18,120
18,127
18,128
18,129
18,130
18,131
18,132
18,136
18,139
18,143
19,10
19,24
19,35
19,36
19,37
19,38
19,39
19,40
19,41
19,53
19,54
19,59
19,60
19,62
19,64
19,68
19,69
19,73
19,110
19,119
19,122
19,147
19,148
19,149
20,36
21,36
22,2
23,2
24,3
25,3
26,4
27,4
28,5
29,5
30,6
31,6
32,7
33,7
34,8
35,8
36,1
37,1
38,9
39,9
40,88
41,88
42,10
43,10
44,11
45,11
46,12
47,12
48,13
49,13
50,14
51,14
52,16
53,16
54,17
55,17
56,18
57,18
58,19
59,19
60,20
61,20
62,21
63,21
64,22
65,22
66,23
67,23
68,24
69,24
70,25
71,25
72,26
73,26
74,27
75,27
76,28
77,28
78,29
79,29
80,30
81,30
82,31
83,31
84,32
85,32
86,33
87,33
88,34
89,34
90,35
91,35
92,37
93,37
94,38
95,38
96,124
97,124
100,58
101,58
102,15
103,15
104,40
105,40
106,39
107,39
108,41
109,41
110,42
111,42
114,43
115,43
116,44
117,44
118,45
119,45
120,46
121,46
122,47
123,47
124,48
125,48
126,49
127,49
128,50
129,50
130,51
131,51
132,52
133,52
134,53
135,53
136,54
137,54
138,55
139,55
140,56
141,56
142,57
143,57
144,59
145,59
146,60
147,60
150,62
151,62
152,64
153,64
156,65
157,65
158,66
159,66
160,67
161,67
162,69
163,69
164,68
165,68
166,70
167,70
168,71
169,71
172,72
173,72
174,73
175,73
176,74
177,74
178,75
179,75
182,77
183,77
186,79
187,79
190,78
191,78
192,80
193,80
194,81
195,81
196,82
197,82
200,84
201,84
202,83
203,83
204,85
205,85
206,86
207,86
208,87
209,87
210,88
211,88
212,89
213,89
214,90
215,90
216,91
217,91
218,93
219,93
220,92
221,92
222,94
223,94
224,95
225,95
226,96
227,96
228,97
229,97
230,98
231,98
234,99
235,99
236,100
237,100
238,101
239,101
240,102
241,102
242,103
243,103
246,104
247,104
248,107
249,107
250,108
251,108
252,105
253,105
254,109
255,109
256,106
257,106
258,110
259,110
260,115
261,115
262,116
263,116
272,109
272,110
272,111
272,112
273,109
273,110
273,111
273,112
274,117
275,117
276,137
277,137
280,118
281,118
282,119
283,119
284,120
285,120
286,121
287,121
288,122
289,122
290,124
291,124
292,123
293,123
294,126
295,126
298,127
299,127
300,128
301,128
302,129
303,129
304,136
305,136
308,130
309,130
310,131
311,131
312,132
313,132
314,133
315,133
316,134
317,134
318,135
319,135
322,138
323,138
324,139
325,139
326,140
327,140
330,141
331,141
334,143
335,143
336,144
337,144
338,145
339,145
340,146
341,146
342,147
343,147
344,148
345,148
346,149
347,149
348,150
349,150
350,151
351,151
352,152
353,152
354,153
355,153
356,154
357,154
358,155
359,155
1000,49
1001,46
1002,45
1003,44
1004,43
1005,42
1006,41
1007,39
1008,38
1009,37
1010,36
1011,35
1012,34
1013,33
1014,32
1015,31
1016,30
1017,29
1018,28
1019,27
1020,26
1021,25
1022,23
1023,22
1024,19
1025,18
1026,17
1027,15
1028,12
1029,11
1030,9
1031,6
1032,5
1033,4
1034,3
1035,2
1036,1
1037,1001
1038,1000
1039,151
1040,150
1041,149
1042,148
1043,147
1044,146
1045,145
1046,144
1047,143
1048,142
1049,141
1050,140
1051,139
1052,138
1053,137
1054,136
1055,135
1056,134
1057,133
1058,132
1059,131
1060,130
1061,129
1062,128
1063,127
1064,126
1065,125
1066,124
1067,123
1068,122
1069,121
1070,120
1071,119
1072,118
1073,117
1074,116
1075,115
1076,114
1077,113
1078,112
1079,111
1080,110
1081,109
1082,108
1083,107
1084,106
1085,105
1086,104
1087,103
1088,102
1089,101
1090,100
1091,99
1092,98
1093,97
1094,96
1095,95
1096,94
1097,92
1098,91
1099,90
1100,89
1101,88
1102,87
1103,86
1104,85
1105,84
1106,83
1107,82
1108,81
1109,80
1110,79
1111,78
1112,77
1113,76
1114,75
1115,74
1116,73
1117,72
1118,71
1119,70
1120,69
1121,68
1122,67
1123,66
1124,65
1125,64
1126,63
1127,62
1128,61
1129,60
1130,59
1131,58
1132,57
1133,56
1134,55
1135,54
1136,53
1137,52
1138,51
1139,50
1140,49
1141,48
1142,47
1143,46
1144,45
1145,44
1146,43
1147,42
1148,41
1149,40
1150,39
1151,38
1152,37
1153,36
1154,35
1155,34
1156,33
1157,32
1158,31
1159,30
1160,29
1161,28
1162,27
1163,26
1164,25
1165,24
1166,23
1167,22
1168,21
1169,20
1170,19
1171,18
1172,17
1173,16
1174,15
1175,14
1176,13
1177,12
1178,11
1179,10
1180,9
1181,1001
1182,1000
1183,151
1184,150
1185,149
1186,148
1187,147
1188,146
1189,145
1190,144
1191,143
1192,142
1193,141
1194,140
1195,139
1196,138
1197,137
1198,136
1199,135
1200,134
1201,133
1202,132
1203,131
1204,130
1205,129
1206,128
1207,127
1208,126
1209,125
1210,124
1211,123
1212,122
1213,121
1214,120
1215,119
1216,118
1217,117
1218,116
1219,115
1220,114
1221,113
1222,112
1223,111
1224,110
1225,109
1226,108
1227,107
1228,106
1229,105
1230,104
1231,103
1232,102
1233,101
1234,100
1235,99
1236,98
1237,97
1238,96
1239,95
1240,94
1241,92
1242,91
1243,90
1244,89
1245,88
1246,87
1247,86
1248,85
1249,84
1250,83
1251,82
1252,81
1253,80
1254,79
1255,78
1256,77
1257,76
1258,75
1259,74
1260,73
1261,72
1262,71
1263,70
1264,69
1265,68
1266,67
1267,66
1268,65
1269,64
1270,63
1271,62
1272,61
1273,60
1274,59
1275,58
1276,57
1277,56
1278,55
1279,54
1280,53
1281,52
1282,51
1283,50
1284,49
1285,48
1286,47
1287,46
1288,45
1289,44
1290,43
1291,42
1292,41
1293,40
1294,39
1295,38
1296,37
1297,36
1298,35
1299,34
1300,33
1301,32
1302,31
1303,30
1304,29
1305,28
1306,27
1307,26
1308,25
1309,24
1310,23
1311,22
1312,21
1313,20
1314,19
1315,18
1316,17
1317,16
1318,15
1319,14
1320,13
1321,12
1322,11
1323,10
1324,9
1325,8
1326,7
1327,6
1328,5
1329,4
1330,3
1331,2
1332,1
1333,107
1334,100
1335,98
1336,87
1337,85
1338,83
1339,48
1340,47
1341,40
1342,24
1343,21
1344,20
1345,16
1346,14
1347,13
1348,10
1349,8
1350,7
1351,78
1352,1
1358,93
